ID;Gender;Ever_Married;Age;Graduated;Profession;Work_Experience;Spending_Score;Family_Size;Var_1;Segmentation
461984;Male;Yes;42;Yes;Artist;2.0;Average;2.0;Cat_6;C
461401;Male;Yes;43;Yes;Artist;1.0;Average;3.0;Cat_6;A
459700;Male;Yes;37;Yes;Executive;0.0;Average;5.0;Cat_6;B
460033;Female;;45;Yes;Entertainment;5.0;Low;3.0;Cat_6;A
460930;Male;No;26;Yes;Artist;10.0;Low;5.0;Cat_6;D
460125;Female;Yes;55;Yes;Artist;10.0;Low;1.0;Cat_6;B
462338;Male;Yes;43;Yes;Artist;9.0;Average;2.0;;C
462340;Male;Yes;62;No;Entertainment;1.0;Average;6.0;Cat_6;B
459220;Female;Yes;80;Yes;Lawyer;1.0;High;2.0;Cat_6;A
461633;Male;No;30;Yes;Healthcare;8.0;Low;4.0;Cat_7;D
466882;Male;No;36;Yes;Artist;0.0;Low;;Cat_6;A
462600;Male;Yes;30;No;Engineer;3.0;Average;3.0;Cat_4;D
465130;Female;Yes;50;Yes;Artist;0.0;Average;9.0;Cat_6;C
463629;Male;No;41;Yes;Artist;1.0;Low;1.0;Cat_6;B
459997;Male;No;43;Yes;Entertainment;1.0;Low;2.0;Cat_4;A
461220;Female;No;26;No;Executive;8.0;Low;3.0;Cat_6;D
461035;Male;No;21;No;;7.0;Low;;Cat_3;D
460272;Female;No;86;Yes;Lawyer;1.0;Low;1.0;Cat_6;A
463951;Male;Yes;52;No;Entertainment;1.0;Average;3.0;Cat_6;A
462247;Female;Yes;42;No;Artist;1.0;High;4.0;Cat_6;B
465695;Female;No;33;No;Healthcare;;Low;3.0;Cat_4;B
462504;Female;No;49;No;Artist;9.0;Low;1.0;Cat_1;B
466582;Female;No;23;No;Healthcare;1.0;Low;3.0;Cat_6;D
466831;Male;Yes;85;Yes;Artist;1.0;Low;1.0;Cat_6;A
462253;Male;Yes;51;Yes;Engineer;0.0;Low;2.0;Cat_4;A
459149;Male;Yes;43;No;Executive;0.0;High;4.0;Cat_6;B
465146;Male;Yes;58;Yes;Artist;9.0;Low;1.0;Cat_6;B
460637;Female;No;19;No;Healthcare;;Low;;Cat_3;D
466918;Male;Yes;56;Yes;Artist;1.0;Average;1.0;Cat_6;C
459549;Male;No;22;No;Healthcare;9.0;Low;5.0;Cat_4;D
464215;Male;No;72;No;Marketing;1.0;Low;2.0;Cat_6;D
463099;Male;Yes;86;Yes;Lawyer;;Low;1.0;Cat_6;A
466674;Female;Yes;57;Yes;Artist;0.0;High;2.0;Cat_6;C
461407;Female;No;32;Yes;Marketing;8.0;Low;6.0;Cat_1;A
459321;Male;Yes;81;Yes;Entertainment;1.0;Low;1.0;Cat_6;B
466206;Female;Yes;60;Yes;Artist;4.0;Average;2.0;Cat_3;A
467147;Male;No;45;Yes;Entertainment;0.0;Low;1.0;Cat_6;A
467768;Male;Yes;62;Yes;Doctor;0.0;Average;2.0;Cat_6;A
460132;Male;No;39;Yes;Healthcare;3.0;Low;2.0;Cat_6;D
460715;Female;Yes;86;No;Lawyer;0.0;High;2.0;Cat_6;A
459614;Female;No;43;Yes;Artist;1.0;Low;2.0;Cat_6;B
467306;Female;Yes;58;Yes;Artist;0.0;Average;5.0;Cat_6;C
460848;Male;Yes;53;No;Entertainment;10.0;Average;3.0;Cat_6;A
461272;Male;Yes;67;Yes;Artist;0.0;Low;1.0;Cat_3;B
466769;Female;No;31;Yes;Entertainment;0.0;Low;4.0;Cat_6;A
462281;Male;Yes;46;Yes;Artist;1.0;Low;2.0;Cat_6;A
466659;Male;Yes;60;Yes;Doctor;1.0;High;2.0;Cat_3;B
467883;Female;Yes;48;Yes;Artist;0.0;Average;2.0;Cat_6;C
466317;Male;Yes;37;Yes;Entertainment;4.0;Low;1.0;Cat_6;A
461046;Male;Yes;50;Yes;Artist;0.0;Low;1.0;Cat_6;B
466522;Male;;18;No;;6.0;High;4.0;Cat_3;D
466769;Female;No;29;Yes;Entertainment;1.0;Low;4.0;Cat_6;A
463941;Female;No;29;No;Artist;1.0;Low;6.0;Cat_4;A
463411;Male;Yes;42;Yes;Entertainment;;Average;2.0;Cat_6;C
463224;Male;Yes;47;Yes;Executive;1.0;High;4.0;Cat_6;A
461196;Female;Yes;42;Yes;Engineer;8.0;Low;2.0;Cat_3;D
465871;Male;No;33;No;Entertainment;8.0;Low;1.0;Cat_6;A
465229;Male;Yes;43;Yes;Executive;0.0;High;3.0;Cat_6;B
467585;Male;Yes;40;Yes;Healthcare;6.0;High;2.0;Cat_6;A
459715;Male;No;19;No;Healthcare;4.0;Low;4.0;Cat_6;A
459964;Male;No;47;Yes;Marketing;1.0;Low;1.0;Cat_6;A
463866;Male;Yes;40;Yes;Artist;1.0;Average;4.0;Cat_6;C
459175;Female;Yes;70;Yes;Artist;1.0;Average;2.0;Cat_6;C
467160;Male;Yes;40;No;;0.0;Average;2.0;Cat_3;A
466620;Female;Yes;36;Yes;Artist;7.0;Average;2.0;Cat_6;C
464973;Male;No;87;;Lawyer;1.0;Low;2.0;Cat_4;A
464095;Female;Yes;31;Yes;Engineer;1.0;Low;2.0;Cat_6;A
460098;Female;Yes;62;Yes;Engineer;1.0;Low;1.0;Cat_3;B
464452;Female;No;72;Yes;Lawyer;0.0;Low;1.0;Cat_6;C
467894;Male;Yes;58;Yes;Artist;0.0;Average;2.0;Cat_6;C
466910;Male;Yes;62;Yes;Entertainment;9.0;Low;1.0;Cat_6;A
466480;Female;Yes;40;Yes;Artist;;Average;2.0;Cat_4;C
459795;Male;No;52;Yes;Artist;0.0;Low;1.0;Cat_6;A
459814;Female;No;49;Yes;Artist;0.0;Low;3.0;Cat_2;B
459115;Female;No;21;No;Marketing;1.0;Low;5.0;Cat_4;D
459079;Male;Yes;84;Yes;Lawyer;;High;2.0;Cat_6;A
467438;Male;No;27;No;Entertainment;5.0;Low;3.0;Cat_6;A
466039;Female;No;29;No;Entertainment;0.0;Low;;Cat_4;A
463174;Female;Yes;58;Yes;Engineer;1.0;Low;1.0;Cat_3;A
463135;Male;Yes;46;Yes;Artist;5.0;Average;2.0;Cat_3;C
461185;Female;No;22;No;Healthcare;;Low;4.0;Cat_3;D
460825;Male;No;26;Yes;Doctor;0.0;Low;3.0;Cat_4;A
460857;Male;No;31;No;Entertainment;1.0;Low;1.0;Cat_4;A
466626;Female;Yes;51;Yes;Artist;1.0;Average;2.0;Cat_7;C
463964;Male;No;33;No;Healthcare;1.0;Low;4.0;Cat_6;C
461545;Female;Yes;70;Yes;Artist;1.0;Low;3.0;Cat_7;B
459352;Male;Yes;38;Yes;Doctor;4.0;Average;4.0;Cat_3;B
459989;Male;Yes;52;Yes;Artist;6.0;Average;2.0;Cat_6;B
459305;Male;Yes;29;No;Healthcare;13.0;High;2.0;Cat_6;B
462693;Female;No;35;Yes;Artist;1.0;Low;1.0;Cat_6;A
463070;Male;Yes;68;No;Entertainment;1.0;Low;1.0;Cat_6;D
466778;Male;Yes;37;Yes;Entertainment;1.0;Low;2.0;Cat_3;A
462607;Female;;37;No;Engineer;2.0;Average;3.0;Cat_4;D
460161;Male;No;38;Yes;Artist;0.0;Low;1.0;Cat_3;B
461771;Male;Yes;28;Yes;Doctor;8.0;Average;2.0;Cat_6;A
466118;Female;Yes;40;No;Engineer;0.0;Low;3.0;Cat_4;A
466512;Female;No;22;No;Healthcare;1.0;Low;2.0;Cat_6;D
461752;Male;Yes;65;Yes;Doctor;1.0;Average;3.0;Cat_6;A
466642;Male;No;18;No;Healthcare;9.0;Low;3.0;Cat_6;D
465181;Female;No;25;Yes;Healthcare;8.0;Low;1.0;Cat_4;A
459142;Female;Yes;89;Yes;Artist;0.0;High;3.0;Cat_6;C
467298;Male;Yes;61;Yes;Healthcare;1.0;Low;2.0;Cat_6;A
465767;Male;No;28;No;Healthcare;0.0;Low;5.0;Cat_4;B
464107;Male;Yes;70;No;Artist;1.0;Average;2.0;Cat_6;C
465076;Male;Yes;67;Yes;Artist;0.0;High;5.0;Cat_6;A
465989;Female;No;28;No;Healthcare;9.0;Low;2.0;Cat_6;D
460624;Male;Yes;57;Yes;Homemaker;5.0;High;2.0;Cat_6;A
460582;Female;No;28;No;Entertainment;0.0;Low;1.0;Cat_3;A
462731;Female;Yes;43;Yes;Artist;5.0;High;3.0;Cat_6;B
461720;Female;No;46;Yes;Artist;1.0;Low;1.0;Cat_4;A
461263;Female;Yes;51;Yes;Artist;0.0;Low;1.0;Cat_4;A
461901;Male;No;30;Yes;Artist;5.0;Low;4.0;Cat_6;C
466666;Female;Yes;32;Yes;Healthcare;0.0;Low;2.0;Cat_6;A
466953;Male;Yes;42;Yes;Artist;2.0;Average;2.0;Cat_6;B
466453;Male;Yes;41;Yes;Entertainment;2.0;Average;2.0;Cat_6;A
463832;Female;No;32;No;Marketing;;Low;;Cat_6;D
462780;Male;Yes;21;No;Healthcare;1.0;High;8.0;Cat_4;B
460763;Male;No;47;Yes;Artist;1.0;Low;2.0;Cat_6;B
459897;Female;Yes;56;Yes;Artist;0.0;Low;2.0;Cat_6;A
462792;Male;Yes;45;No;Homemaker;;Average;4.0;Cat_6;A
466932;Female;No;49;Yes;Doctor;;Low;2.0;Cat_6;D
466271;Male;No;33;No;Entertainment;1.0;Low;3.0;Cat_2;B
467763;Female;No;48;Yes;Artist;1.0;Low;1.0;Cat_2;B
460953;Male;Yes;60;No;Entertainment;1.0;Low;2.0;Cat_6;A
466236;Female;Yes;68;Yes;Engineer;1.0;Low;2.0;Cat_4;A
466698;Female;Yes;26;Yes;Healthcare;8.0;Low;2.0;Cat_3;D
465543;Female;Yes;41;Yes;Healthcare;1.0;Average;2.0;Cat_3;A
459101;Male;Yes;81;No;Lawyer;8.0;Low;2.0;Cat_6;B
466410;Female;Yes;56;Yes;Artist;0.0;Low;1.0;Cat_6;B
466996;Female;No;36;Yes;Artist;9.0;Low;1.0;Cat_6;A
464116;Female;Yes;69;Yes;Marketing;1.0;Low;2.0;Cat_6;C
463967;Female;No;33;Yes;Engineer;0.0;Low;2.0;Cat_6;A
467669;Male;Yes;82;No;Lawyer;1.0;High;2.0;Cat_6;A
461209;Female;No;31;No;Healthcare;9.0;Low;1.0;Cat_6;D
461162;Female;No;37;No;Marketing;8.0;Low;3.0;Cat_3;A
463754;Male;No;33;Yes;Entertainment;1.0;Low;4.0;Cat_2;D
461793;Male;No;20;No;Marketing;0.0;Low;2.0;Cat_6;D
459194;Female;Yes;81;Yes;Lawyer;1.0;High;2.0;Cat_6;C
466489;Male;Yes;55;Yes;Homemaker;1.0;Average;4.0;Cat_6;C
467935;Male;No;23;No;Healthcare;7.0;Low;3.0;Cat_6;D
461962;Male;Yes;56;Yes;Entertainment;1.0;Average;3.0;Cat_6;A
462011;Male;Yes;29;No;Marketing;1.0;Low;4.0;Cat_4;D
465880;Female;No;46;Yes;Entertainment;1.0;Low;2.0;Cat_6;A
463156;Female;Yes;79;No;Lawyer;;High;2.0;Cat_6;A
461344;Male;Yes;43;No;Healthcare;6.0;High;2.0;Cat_7;B
464375;Female;Yes;63;Yes;Artist;1.0;Low;2.0;Cat_6;B
462187;Female;No;50;Yes;Artist;4.0;Low;1.0;Cat_6;C
462763;Male;No;23;No;Healthcare;0.0;Low;4.0;Cat_6;D
460977;Male;Yes;42;Yes;Executive;0.0;High;3.0;Cat_4;A
462039;Male;No;21;No;Healthcare;1.0;Low;2.0;Cat_2;D
465852;Male;Yes;39;Yes;Doctor;1.0;Low;2.0;Cat_4;B
462086;Male;No;41;Yes;Doctor;4.0;Low;2.0;Cat_6;B
463322;Female;Yes;72;Yes;Lawyer;1.0;High;4.0;Cat_2;B
466350;Female;Yes;56;Yes;Artist;0.0;Low;1.0;Cat_4;C
464105;Male;Yes;65;Yes;Entertainment;1.0;Average;2.0;Cat_6;C
463786;Female;Yes;43;Yes;Artist;;Average;2.0;Cat_6;A
464039;Male;No;39;Yes;Artist;1.0;Low;2.0;Cat_6;A
467297;Female;Yes;53;Yes;Artist;1.0;Average;3.0;Cat_6;C
464266;Male;No;28;No;Doctor;8.0;Low;3.0;Cat_6;A
464608;Female;Yes;53;Yes;Artist;1.0;Average;3.0;Cat_6;A
465597;Female;No;43;Yes;Entertainment;14.0;Low;1.0;Cat_6;A
460869;Male;Yes;35;Yes;Artist;1.0;Average;2.0;Cat_6;B
460883;Male;Yes;68;Yes;Artist;0.0;High;2.0;Cat_6;B
462867;Male;Yes;28;No;Artist;1.0;Low;2.0;Cat_6;A
461396;Male;No;23;No;Doctor;0.0;Low;5.0;Cat_6;B
465480;Male;Yes;39;No;Doctor;1.0;High;2.0;Cat_6;A
459410;Female;Yes;79;Yes;Lawyer;1.0;High;2.0;Cat_6;B
465346;Female;No;37;Yes;Marketing;1.0;Low;3.0;Cat_6;D
467397;Male;No;29;No;Doctor;8.0;Low;4.0;Cat_6;B
466635;Male;Yes;50;Yes;Artist;4.0;Average;2.0;Cat_6;A
459921;Male;No;37;Yes;Artist;8.0;Low;1.0;Cat_3;A
465972;Female;No;47;Yes;Marketing;9.0;Low;1.0;Cat_6;D
465236;Male;Yes;47;Yes;Artist;0.0;Low;1.0;Cat_6;C
459173;Male;Yes;55;Yes;Artist;1.0;Average;2.0;Cat_6;C
465312;Male;No;23;No;Healthcare;0.0;Low;4.0;Cat_6;D
466701;Male;Yes;48;Yes;Homemaker;10.0;Low;3.0;Cat_6;C
464756;Female;No;28;No;Engineer;6.0;Low;3.0;Cat_4;A
467140;Male;Yes;61;Yes;Entertainment;9.0;Average;2.0;Cat_6;C
460822;Male;Yes;41;Yes;Artist;0.0;Low;2.0;Cat_6;A
466468;Male;No;30;Yes;Doctor;4.0;Low;4.0;Cat_3;A
464416;Male;Yes;38;Yes;Artist;1.0;Low;6.0;Cat_6;A
466844;Male;No;18;No;Healthcare;0.0;Low;5.0;Cat_6;D
464420;Female;Yes;60;Yes;Artist;8.0;High;2.0;Cat_6;C
459547;Male;Yes;89;No;Lawyer;;Low;2.0;Cat_6;B
463177;Male;No;41;Yes;Entertainment;7.0;Low;2.0;Cat_1;D
462508;Male;Yes;37;Yes;Healthcare;0.0;Low;7.0;Cat_4;D
460238;Female;No;36;Yes;Artist;9.0;Low;3.0;Cat_4;A
459031;Male;Yes;43;No;Executive;1.0;High;5.0;Cat_4;B
461126;Female;No;28;Yes;Homemaker;;Low;2.0;Cat_4;B
462030;Male;No;36;Yes;Artist;11.0;Low;2.0;Cat_6;C
460898;Male;Yes;52;No;Artist;2.0;Average;4.0;Cat_6;A
465554;Female;No;78;Yes;Lawyer;1.0;Low;3.0;Cat_6;A
462242;Female;No;30;Yes;Entertainment;0.0;Low;5.0;Cat_1;D
463431;Male;Yes;43;Yes;Artist;;Average;4.0;Cat_4;B
466767;Male;Yes;68;Yes;Lawyer;0.0;Low;2.0;;C
465044;Female;Yes;47;Yes;Engineer;0.0;Average;4.0;Cat_6;B
461946;Male;No;31;Yes;Healthcare;1.0;Low;3.0;Cat_6;C
465440;Male;Yes;55;No;Engineer;1.0;Low;5.0;Cat_6;A
466139;Female;Yes;51;No;Doctor;0.0;Average;3.0;Cat_6;C
465567;Male;Yes;35;Yes;Entertainment;1.0;Low;2.0;Cat_3;A
460384;Female;Yes;32;Yes;Marketing;8.0;Low;2.0;Cat_6;D
459039;Male;Yes;45;Yes;Artist;1.0;Average;2.0;Cat_6;A
466776;Male;Yes;86;Yes;Lawyer;0.0;Low;1.0;Cat_6;B
465255;Male;No;21;No;Healthcare;9.0;Low;5.0;Cat_6;D
465317;Male;No;23;No;Healthcare;0.0;Low;4.0;Cat_4;D
461929;Male;Yes;63;Yes;Entertainment;0.0;Low;1.0;Cat_6;A
467217;Female;Yes;79;Yes;Lawyer;;High;2.0;Cat_6;C
463345;Female;No;20;No;Healthcare;4.0;Low;4.0;Cat_6;D
465935;Male;No;29;Yes;Entertainment;9.0;Low;1.0;Cat_6;A
465801;Male;;37;Yes;Doctor;8.0;Low;6.0;Cat_6;C
466979;Female;Yes;39;Yes;Homemaker;;Low;1.0;Cat_3;A
466289;Male;No;19;No;Healthcare;2.0;Low;5.0;Cat_2;D
460961;Male;No;20;No;Healthcare;1.0;Low;2.0;Cat_3;D
460036;Male;Yes;40;Yes;;3.0;Low;1.0;Cat_6;D
463003;Male;Yes;37;Yes;Artist;2.0;Average;2.0;Cat_6;C
459046;Male;Yes;57;Yes;Executive;;Low;4.0;Cat_2;A
464023;Male;No;22;No;Healthcare;0.0;Low;5.0;Cat_7;D
466664;Female;Yes;47;Yes;Doctor;1.0;Average;2.0;Cat_4;A
463528;Male;Yes;67;No;Executive;;High;2.0;Cat_6;A
